154243842352723652622,6922255451427,百岁山天然矿泉水570ml,2,3,3,0,1,0
15424384233703657161,6920907808278,好丽友蜜香鸡翅味好多鱼33g,1,7,7,3.85,1,3
15424384233703657161,8850267117629,大狮豆奶125ml 6瓶,1,15,15,0,1,0
154243842370215347783,6901028191043,白沙品包装,1,10,10,7.63,1,8
15424384295328659522,6956367338666,王老吉凉茶植物饮料500ml,2,4,4,3,1,2
15424384295328659522,6909409040775,上好佳田园薯片番茄味0g,1,4,4,0,1,7
154243843347515341951,6933125698873,湘潭铺子15元装,1,13,13,10.9,1,8
15424384334138659047,6922266438882,清风无芯卷纸,1,7,7,55,1,4
15424384334138659047,6924160714093,无穷烤鸡小腿蜂蜜味60g,1,9.5,9.5,8,1,8
15424384334138659047,6936891520829,多嘴鱼茄汁味饼干38g,1,4,4,2,1,3
15424384339526183881,6925954418449,洁丽雅毛巾,1,22,22,10.5,1,13
154243843265524241365,8993175537445,丽芝士纳宝帝奶酪威化饼干58g,1,2.5,2.5,0,1,0
154243843265524241365,6956866300300,美日佳熊来了50g,1,5,5,0,1,0
154243843265524241365,6909995103694,旺旺小小酥黑胡椒味0g,1,3.5,3.5,0,1,0
154243843265524241365,6906839502231,旺旺挑豆系列海苔花生5g,1,2.5,2.5,0,1,0
154243843265524241365,6920584452245,旺旺挑豆随手包豆,1,2.5,2.5,0,1,0
154243843265524241365,6935768924128,口水娃多味花生60g,1,2.5,2.5,0,1,0
154243843265524241365,6935768924142,60克口水娃多味花生五香味,1,2.5,2.5,0,1,0
154243843265524241365,6935768924074,口水娃酱汁牛肉味兰花豆60克,1,2.5,2.5,0,1,0
154243843265524241365,6905734102096,旺旺雪饼,1,6,6,0,1,0
154243843265524241365,6905734101112,旺旺仙贝52g,1,5,5,0,1,0
154243843265524241365,6905734202024,旺旺鸡蛋煎饼100g,1,6.5,6.5,0,1,0
154243843265524241365,6918598028013,波力海苔原味g,1,5,5,0,1,0
154243843265524241365,6914973603394,士力架花生夹心巧克力1g,1,4.5,4.5,3.5,10,12
15424384356538651990,6923644268503,蒙牛真果粒牛奶饮品莓果粒50ml,1,3.5,3.5,2.1,1,3
15424384356538651990,6922266438882,清风无芯卷纸,1,7,7,55,1,4
15424384356538651990,6915324767246,妮维雅晶纯皙白泡沫洁面乳00g,1,19,19,0,1,13
154243841885319765209,6924187828964,恰恰奶香味瓜子150g,1,6,6,3.5,10,8
154243841885319765209,6930970200244,川豆茶,1,5,5,0,1,8
15424384379088658422,6901028084321,娇子阳光包装,1,32,32,88,1,10
15424384398278653107,6923644268503,蒙牛真果粒牛奶饮品莓果粒50ml,2,3.5,3.5,2.1,1,3
15424384398278653107,6915324767246,妮维雅晶纯皙白泡沫洁面乳00g,1,19,19,0,1,13
15424384417378654843,6922266438882,清风无芯卷纸,1,7,7,55,1,4
154243844416118332066,6901028191043,白沙品包装,1,9,9,7.63,21,8
15424384437358656517,6923644268503,蒙牛真果粒牛奶饮品莓果粒50ml,2,3.5,3.5,2.1,1,3
15424384437358656517,6915324767246,妮维雅晶纯皙白泡沫洁面乳00g,1,19,19,0,1,13
15424384452378655015,6915324767246,妮维雅晶纯皙白泡沫洁面乳00g,1,19,19,0,1,13
154243844875023657460,6902538004045,乐百氏脉动青柠味600ml,1,5,5,0,1,0
